Date, Open, High, Low, Close
06/17/22,11172.65,11357.97,11089.93,11265.99
06/16/22,11286.87,11311.05,11037.21,11127.57
06/15/22,11468.13,11751.30,11346.54,11593.77
06/14/22,11385.18,11418.22,11205.92,11311.69
06/13/22,11472.19,11568.65,11254.18,11288.32
06/10/22,12052.59,12082.69,11825.35,11832.82
06/09/22,12543.37,12666.41,12265.86,12269.78
06/08/22,12682.81,12776.65,12578.55,12615.13
06/07/22,12456.49,12737.30,12413.56,12711.68
06/06/22,12745.89,12804.46,12534.58,12599.63
06/03/22,12650.39,12724.81,12505.76,12548.03
06/02/22,12498.63,12897.63,12447.77,12892.89
06/01/22,12750.31,12820.47,12457.91,12548.36
05/31/22,12688.95,12762.84,12482.33,12642.10
05/27/22,12421.80,12682.58,12405.29,12681.42
05/26/22,11906.83,12337.73,11901.87,12276.79
05/25/22,11732.45,12028.89,11714.27,11943.93
05/24/22,11807.78,11842.81,11576.11,11769.84
05/23/22,11867.08,12047.81,11785.76,12034.28
05/20/22,12037.03,12044.70,11492.29,11835.62
05/19/22,11872.56,12066.85,11795.79,11875.63
05/18/22,12352.92,12389.96,11887.00,11928.31
05/17/22,12496.63,12572.99,12333.99,12564.10
05/16/22,12297.07,12395.51,12196.21,12243.58
05/13/22,12125.93,12429.28,12069.13,12387.40
05/12/22,11790.13,12128.73,11692.12,11945.50
05/11/22,12240.21,12470.89,11939.09,11967.56
05/10/22,12496.84,12537.89,12173.47,12345.86
05/09/22,12465.91,12542.32,12136.19,12187.72
05/06/22,12776.86,12926.58,12522.77,12693.53
05/05/22,13344.79,13344.79,12710.59,12850.55
05/04/22,13110.30,13556.67,12887.53,13535.71
05/03/22,13045.35,13178.74,12982.70,13089.90
05/02/22,12864.83,13083.57,12716.63,13075.85
04/29/22,13274.94,13428.53,12835.48,12854.80
04/28/22,13254.96,13542.56,13038.17,13456.06
04/27/22,13009.40,13241.94,12936.41,13003.36
04/26/22,13447.66,13447.66,13009.65,13009.71
04/25/22,13275.41,13541.77,13239.73,13533.22
04/22/22,13714.63,13769.40,13342.79,13356.87
04/21/22,14174.92,14277.21,13682.68,13720.45
04/20/22,14246.20,14263.61,13962.86,13998.53
04/19/22,13882.75,14236.51,13844.74,14210.26
04/14/22,14225.47,14235.39,13884.82,13893.21
04/13/22,13939.61,14258.81,13919.48,14217.29
04/12/22,14175.66,14264.74,13882.75,13940.24
04/11/22,14149.60,14187.67,13979.14,13990.21
04/08/22,14450.53,14490.19,14307.68,14327.26
04/07/22,14469.50,14624.24,14315.69,14531.81
04/06/22,14600.30,14639.35,14395.40,14498.88
04/05/22,15109.27,15120.67,14782.57,14820.64
04/04/22,14903.38,15161.89,14884.57,15159.58
04/01/22,14886.91,14925.93,14723.83,14861.21
03/31/22,15074.24,15088.38,14835.16,14838.49
03/30/22,15177.15,15229.01,15010.34,15071.55
03/29/22,15142.93,15265.42,15039.61,15239.32
03/28/22,14763.16,14989.08,14705.92,14987.40
03/25/22,14766.90,14805.88,14577.59,14754.31
03/24/22,14529.72,14767.73,14440.67,14765.69
03/23/22,14525.22,14681.33,14446.04,14447.55
03/22/22,14396.03,14688.97,14385.55,14654.33
03/21/22,14377.15,14470.68,14190.53,14376.09
03/18/22,14061.29,14427.47,14014.43,14420.08
03/17/22,13878.99,14125.67,13827.34,14118.60
03/16/22,13633.12,13960.25,13475.09,13956.79
03/15/22,13174.97,13488.18,13092.45,13458.56
03/14/22,13248.09,13386.67,13020.40,13046.64
03/11/22,13701.80,13714.44,13285.19,13301.83
03/10/22,13577.84,13633.69,13399.46,13591.00
03/09/22,13610.48,13793.11,13504.48,13742.20
03/08/22,13275.23,13663.27,13129.40,13267.60
03/07/22,13853.53,13879.10,13314.44,13319.38
03/04/22,13957.60,13992.97,13738.61,13837.83
03/03/22,14339.70,14342.56,13965.11,14035.21
03/02/22,14075.11,14292.72,13962.69,14243.69
03/01/22,14197.66,14271.58,13906.92,14005.99
02/28/22,14058.61,14296.60,14009.36,14237.81
02/25/22,13973.90,14193.00,13850.29,14189.16
02/24/22,13065.44,13989.10,13065.44,13974.67
02/23/22,14016.94,14035.93,13502.58,13509.43
02/22/22,13892.81,14109.26,13720.92,13870.53
02/18/22,14207.55,14225.72,13918.76,14009.54
02/17/22,14485.08,14497.46,14155.43,14171.74
02/16/22,14514.84,14647.79,14399.29,14603.64
02/15/22,14482.11,14624.53,14444.46,14620.82
02/14/22,14233.40,14400.78,14119.73,14268.59
02/11/22,14739.46,14769.64,14194.54,14253.84
02/10/22,14770.67,15037.26,14636.62,14705.64
02/09/22,14930.99,15057.90,14870.36,15056.96
02/08/22,14533.25,14785.22,14485.78,14747.03
02/07/22,14716.43,14813.86,14524.63,14571.25
02/04/22,14566.28,14832.05,14452.28,14694.35
02/03/22,14693.85,14856.51,14471.19,14501.11
02/02/22,15173.03,15196.40,14960.85,15139.74
02/01/22,14966.60,15034.42,14749.49,15019.68
01/31/22,14505.07,14934.52,14442.88,14930.05
01/28/22,14091.32,14457.78,13880.48,14454.61
01/27/22,14346.46,14419.45,13972.89,14003.11
01/26/22,14492.52,14646.54,14006.40,14172.76
01/25/22,14237.60,14410.43,14033.81,14149.12
01/24/22,14160.91,14532.57,13724.85,14509.58
