Date, Open, High, Low, Close
06/17/22,0.9477,0.9574,0.9468,0.9527
06/16/22,0.9574,0.9633,0.9433,0.9479
06/15/22,0.9599,0.9654,0.9516,0.9574
06/14/22,0.9607,0.9618,0.9538,0.9600
06/13/22,0.9506,0.9616,0.9497,0.9609
06/10/22,0.9419,0.9517,0.9395,0.9508
06/09/22,0.9332,0.9425,0.9281,0.9417
06/08/22,0.9342,0.9371,0.9303,0.9330
06/07/22,0.9348,0.9387,0.9332,0.9341
06/06/22,0.9328,0.9375,0.9282,0.9352
06/03/22,0.9304,0.9341,0.9289,0.9330
06/02/22,0.9387,0.9394,0.9300,0.9305
06/01/22,0.9315,0.9410,0.9308,0.9388
05/31/22,0.9277,0.9363,0.9273,0.9316
05/27/22,0.9325,0.9348,0.9288,0.9315
05/26/22,0.9361,0.9379,0.9316,0.9321
05/25/22,0.9315,0.9396,0.9309,0.9362
05/24/22,0.9354,0.9482,0.9303,0.9315
05/23/22,0.9467,0.9479,0.9347,0.9353
05/20/22,0.9446,0.9495,0.9434,0.9466
05/19/22,0.9555,0.9561,0.9426,0.9446
05/18/22,0.9479,0.9560,0.9466,0.9556
05/17/22,0.9585,0.9589,0.9473,0.9477
05/16/22,0.9604,0.9625,0.9574,0.9584
05/13/22,0.9634,0.9661,0.9596,0.9604
05/12/22,0.9512,0.9657,0.9496,0.9632
05/11/22,0.9499,0.9522,0.9454,0.9512
05/10/22,0.9470,0.9500,0.9446,0.9495
05/09/22,0.9473,0.9528,0.9440,0.9467
05/06/22,0.9486,0.9539,0.9433,0.9481
05/05/22,0.9415,0.9530,0.9396,0.9486
05/04/22,0.9504,0.9518,0.9405,0.9413
05/03/22,0.9533,0.9533,0.9453,0.9506
05/02/22,0.9471,0.9533,0.9437,0.9516
04/29/22,0.9525,0.9532,0.9440,0.9484
04/28/22,0.9473,0.9549,0.9465,0.9523
04/27/22,0.9400,0.9510,0.9384,0.9471
04/26/22,0.9336,0.9402,0.9311,0.9402
04/25/22,0.9232,0.9348,0.9228,0.9335
04/22/22,0.9228,0.9285,0.9214,0.9259
04/21/22,0.9214,0.9239,0.9143,0.9230
04/20/22,0.9269,0.9274,0.9202,0.9211
04/19/22,0.9275,0.9293,0.9246,0.9270
04/14/22,0.9187,0.9294,0.9153,0.9233
04/13/22,0.9234,0.9251,0.9178,0.9181
04/12/22,0.9188,0.9241,0.9171,0.9235
04/11/22,0.9171,0.9198,0.9145,0.9187
04/08/22,0.9189,0.9228,0.9181,0.9195
04/07/22,0.9180,0.9204,0.9143,0.9192
04/06/22,0.9169,0.9196,0.9142,0.9178
04/05/22,0.9113,0.9175,0.9100,0.9170
04/04/22,0.9055,0.9124,0.9045,0.9113
04/01/22,0.9034,0.9068,0.9027,0.9052
03/31/22,0.8961,0.9041,0.8940,0.9036
03/30/22,0.9020,0.9023,0.8951,0.8960
03/29/22,0.9105,0.9115,0.8978,0.9019
03/28/22,0.9104,0.9137,0.9090,0.9102
03/25/22,0.9094,0.9107,0.9058,0.9107
03/24/22,0.9087,0.9118,0.9079,0.9094
03/23/22,0.9067,0.9121,0.9054,0.9086
03/22/22,0.9076,0.9124,0.9052,0.9065
03/21/22,0.9032,0.9083,0.9032,0.9078
03/18/22,0.9015,0.9088,0.8993,0.9052
03/17/22,0.9062,0.9084,0.8978,0.9014
03/16/22,0.9127,0.9134,0.9052,0.9074
03/15/22,0.9140,0.9152,0.9074,0.9128
03/14/22,0.9157,0.9174,0.9095,0.9139
03/11/22,0.9102,0.9172,0.9055,0.9162
03/10/22,0.9028,0.9111,0.8992,0.9101
03/09/22,0.9175,0.9183,0.9012,0.9043
03/08/22,0.9212,0.9217,0.9125,0.9175
03/07/22,0.9151,0.9253,0.9148,0.9212
03/04/22,0.9036,0.9185,0.8993,0.9121
03/03/22,0.8990,0.9062,0.8990,0.9037
03/02/22,0.8987,0.9043,0.8971,0.8992
03/01/22,0.8914,0.9017,0.8901,0.8988
02/28/22,0.8980,0.8991,0.8854,0.8913
02/25/22,0.8934,0.8956,0.8869,0.8871
02/24/22,0.8842,0.9003,0.8840,0.8916
02/23/22,0.8829,0.8849,0.8802,0.8845
02/22/22,0.8840,0.8859,0.8797,0.8830
02/18/22,0.8801,0.8838,0.8789,0.8832
02/17/22,0.8792,0.8831,0.8781,0.8801
02/16/22,0.8802,0.8815,0.8774,0.8792
02/15/22,0.8844,0.8848,0.8795,0.8803
02/14/22,0.8810,0.8864,0.8795,0.8844
02/11/22,0.8750,0.8827,0.8747,0.8810
02/10/22,0.8752,0.8791,0.8699,0.8751
02/09/22,0.8759,0.8770,0.8736,0.8752
02/08/22,0.8739,0.8775,0.8733,0.8759
02/07/22,0.8720,0.8760,0.8693,0.8740
02/04/22,0.8742,0.8793,0.8707,0.8734
02/03/22,0.8847,0.8874,0.8732,0.8740
02/02/22,0.8871,0.8876,0.8825,0.8846
02/01/22,0.8901,0.8912,0.8865,0.8871
01/31/22,0.8975,0.8978,0.8890,0.8901
01/28/22,0.8972,0.8992,0.8949,0.8970
01/27/22,0.8896,0.8983,0.8893,0.8972
01/26/22,0.8848,0.8901,0.8840,0.8896
01/25/22,0.8828,0.8878,0.8825,0.8848
01/24/22,0.8816,0.8857,0.8812,0.8830
01/21/22,0.8841,0.8849,0.8802,0.8814
01/20/22,0.8815,0.8848,0.8795,0.8841
01/19/22,0.8829,0.8835,0.8804,0.8817
01/18/22,0.8765,0.8838,0.8754,0.8829
01/14/22,0.8730,0.8773,0.8708,0.8759
01/13/22,0.8741,0.8745,0.8709,0.8730
